Branch1,Branch2,Success,MW_Lost
1,132,1,0.00
10,111,1,0.00
112,143,1,0.00
23,116,1,0.00
30,33,1,0.00
115,137,1,0.00
127,145,1,0.00
54,117,1,0.00
82,145,1,0.00
102,181,1,0.00
88,111,1,0.00
75,83,1,0.00
43,160,1,0.00
76,104,1,0.00
51,152,1,0.00
142,182,1,0.00
30,85,1,0.00
63,175,1,0.00
28,31,1,0.00
13,136,1,0.00
17,166,1,0.00
63,106,1,0.00
11,47,1,0.00
100,116,1,0.00
135,157,1,0.00
16,54,1,0.00
66,91,1,0.00
135,136,1,0.00
164,174,1,0.00
180,185,1,0.00
102,137,1,0.00
54,112,1,0.00
20,114,1,0.00
12,153,1,0.00
100,173,1,0.00
49,143,1,0.00
26,94,1,0.00
143,151,1,0.00
106,119,1,0.00
16,56,1,0.00
39,155,1,0.00
109,175,1,0.00
61,131,1,0.00
80,185,1,0.00
160,173,1,0.00
79,132,1,0.00
69,121,1,0.00
17,123,1,0.00
40,83,1,0.00
123,185,1,0.00
55,167,1,0.00
50,64,1,0.00
74,143,1,0.00
73,138,1,0.00
42,179,1,0.00
5,150,1,0.00
2,180,1,0.00
34,178,1,0.00
48,174,1,0.00
59,163,1,0.00
80,105,1,0.00
28,82,1,0.00
72,128,1,0.00
31,151,1,0.00
104,124,1,0.00
55,83,1,0.00
138,149,1,0.00
164,167,1,0.00
35,51,1,0.00
15,56,1,0.00
82,163,1,0.00
110,136,1,0.00
6,59,1,0.00
67,143,1,0.00
39,114,1,0.00
22,171,1,0.00
43,132,1,0.00
61,99,1,0.00
58,142,1,0.00
97,171,1,0.00
25,121,1,0.00
106,159,1,0.00
164,175,1,0.00
131,145,1,0.00
57,162,1,0.00
6,73,1,0.00
86,168,1,0.00
39,80,1,0.00
74,93,1,0.00
29,179,1,0.00
167,185,1,0.00
83,142,1,0.00
130,163,1,0.00
150,166,1,0.00
34,162,1,0.00
50,179,1,0.00
8,89,1,0.00
127,163,1,0.00
75,140,1,0.00
140,151,1,0.00
66,93,1,0.00
35,173,1,0.00
50,107,1,0.00
120,152,1,0.00
6,27,1,0.00
84,108,1,0.00
21,136,1,0.00
43,135,1,0.00
46,169,1,0.00
78,95,1,0.00
15,80,1,0.00
20,72,1,0.00
8,93,1,0.00
21,36,1,0.00
35,78,1,0.00
32,163,1,0.00
11,24,1,0.00
122,165,1,0.00
67,172,1,0.00
73,122,1,0.00
14,18,1,0.00
4,55,1,0.00
21,145,1,0.00
65,180,1,0.00
24,38,1,0.00
52,164,1,0.00
69,152,1,0.00
39,141,1,0.00
59,143,1,0.00
1,88,1,0.00
34,66,1,0.00
38,74,1,0.00
87,135,1,0.00
106,112,1,0.00
48,136,1,0.00
69,124,1,0.00
27,100,1,0.00
18,123,1,0.00
15,109,1,0.00
14,108,1,0.00
34,68,1,0.00
12,61,1,0.00
4,68,1,0.00
81,90,1,0.00
138,165,1,0.00
26,153,1,0.00
63,153,1,0.00
115,129,1,0.00
13,75,1,0.00
78,179,1,0.00
45,120,1,0.00
44,72,1,0.00
35,36,1,0.00
46,74,1,0.00
100,106,1,0.00
16,125,1,0.00
51,161,1,0.00
25,69,1,0.00
80,144,1,0.00
109,112,1,0.00
35,95,1,0.00
21,180,1,0.00
18,135,1,0.00
108,137,1,0.00
59,180,1,0.00
68,86,1,0.00
63,163,1,0.00
28,47,1,0.00
18,43,1,0.00
58,69,1,0.00
6,77,1,0.00
66,164,1,0.00
24,138,1,0.00
20,65,1,0.00
92,141,1,0.00
40,130,1,0.00
85,171,1,0.00
31,152,1,0.00
126,147,1,0.00
161,169,1,0.00
81,89,1,0.00
48,151,1,0.00
53,78,1,0.00
88,167,1,0.00
28,165,1,0.00
30,86,1,0.00
16,119,1,0.00
42,68,1,0.00
156,162,1,0.00
31,52,1,0.00
118,163,1,0.00
105,160,1,0.00
170,171,1,0.00
99,150,1,0.00
95,153,1,0.00
118,142,1,0.00
2,53,1,0.00
20,118,1,0.00
10,129,1,0.00
76,88,1,0.00
12,63,1,0.00
83,151,1,0.00
52,147,1,0.00
74,167,1,0.00
54,154,1,0.00
39,161,1,0.00
60,154,1,0.00
3,32,1,0.00
109,162,1,0.00
157,181,1,0.00
136,163,1,0.00
36,47,1,0.00
87,168,1,0.00
19,135,1,0.00
56,84,1,0.00
115,169,1,0.00
82,126,1,0.00
168,179,1,0.00
34,85,1,0.00
31,66,1,0.00
33,119,1,0.00
17,84,1,0.00
6,79,1,0.00
13,146,1,0.00
96,103,1,0.00
84,173,1,0.00
45,171,1,0.00
90,167,1,0.00
58,115,1,0.00
